id,name,artist,album,release_date,popularity,duration_ms,genres,album_art_url
112NWXkWGOmGwzzEVlLfkA,Enge Ponaalum (Prayer Song),Siddarth Vippin,Idharkuthaane Aasaipattai Balakumara (Original Motion Picture Soundtrack),2013-08-30,0,275675,,https://i.scdn.co/image/ab67616d0000b273dc5c1540c020ef064942adfb
0QPriddK8uzxoztsPBqGZc,"Oru Maalai - Language: Tamil; Film: Ghajini; Film Artists: Surya, Asin",Karthik,Ghajini,2005-01-01,0,353946,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b273aace3376bb9d27d84b990a85
5chM2OW3FZKuAM1SrvVFrv,Thottal Poomalarum,Hariharan,New (Original Motion Picture Soundtrack),2004-06-17,46,333120,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273fda49084bac5a1ebf4385bf3
4sPItJEXKBQWxBCLf2S2Lu,"Santhosha kanneere (From ""Uyire"")",Ta'mil,Hits of A.R.Rahman Nenjame,2013-12-25,46,407013,,https://i.scdn.co/image/ab67616d0000b273e0cb6e23d21ad2f9f597b64b
74IE3QmRR07So8TE0320Oa,Mazhai Kuruvi,A.R. Rahman,Mazhai Kuruvi,2018-09-05,54,348206,"tamil pop, kollywood, bollywood, sufi, hindi pop, desi, tamil dance",https://i.scdn.co/image/ab67616d0000b273d31cd236fb472b93c0a0e6c9
4FyZDLPO1ErUjzwnLrCLTA,Maruvaarthai,Sid Sriram,Maruvaarthai (From 'Enai Noki Paayum Thota'),2017-02-11,0,356718,"tollywood, telugu pop, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b2738b9642b32a0bf6c3d85e96da
7E2Hxm9THENrvokBvbiSZj,"Puyalae Puyalae (From ""Kovil"")",Karthik,Kalakal Dance Hits,2013-07-18,17,298855,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b2731187a531854a765f273b6da6
0xttqqTj7ZAGyVkfOYxQ4F,Nee Paartha Vizhigal - The Touch of Love,Anirudh Ravichander,3 (Original Motion Picture Soundtrack),2011-12-23,68,264506,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2730d66934f5370419636c78f18
5b1zcET4JFw1BHh8rsjHq3,Thangamey,Anirudh Ravichander,Wunderboy Anirudh,2016-03-03,0,262539,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b2738f94bd8e3d094fc64ec2bb0c
00QuXoF6LyKwH9xz7lXGdf,Kurukku Siruthvalea (From Mudhalvan),Hariharan,Singer Special Hariharan and K.J.Jesudas,2013-05-13,53,398341,"bhajan, tamil pop, ghazal, kollywood, devotional, telugu pop",https://i.scdn.co/image/ab67616d0000b273d6f63aefe2221a24e7043827
6wdyJnmcSeBXUyR6H5gGKd,Suttum Vizhi,Sriram Parthasarathy,Ghajini (Original Motion Picture Soundtrack),2005,60,318600,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27396fa4201ff42cd2dcfef14c4
1qfanYrmrh7xDSvt15acZ3,Oru Maalai,Karthik,Ghajini (Original Motion Picture Soundtrack),2005,61,354240,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b27396fa4201ff42cd2dcfef14c4
0OgazYID6CUlSeiAoeuf5B,"Jigidi Killaadi (From ""Pattas"")",Anirudh Ravichander,"Jigidi Killaadi (From ""Pattas"")",2019-12-26,0,218915,"tamil pop, kollywood, tamil dance, tollywood, tamil hip hop, telugu pop",https://i.scdn.co/image/ab67616d0000b273ae03abaea85fda9eb33c3699
2DoaVDkQT4g0lKmMNTwvTc,Aathichudi (From 'TN 07 AL 4777'),"Vijay Antony,Dinesh Kanagaratnam",Best Of Vijay Antony,2019-07-12,0,251210,,https://i.scdn.co/image/ab67616d0000b273ee0a843519fd46b96a85dc38
1hLIKcQCD7i1AwLfnGrwWX,June Ponal,Krishh,Unnale Unnale (Original Motion Picture Soundtrack),2006-12-31,44,361533,"tamil pop, kollywood, telugu pop, tollywood, tamil dance",https://i.scdn.co/image/ab67616d0000b27318bd30991b8bdd303df0f44e
6Y6reEM6kcr2m1Es3YbUGI,Mudhal Naal,K.K Mahalakshmi,Unnale Unnale (Original Motion Picture Soundtrack),2006-12-31,29,267013,"tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27318bd30991b8bdd303df0f44e
4Va9qUpMta6PavfMwYI8MI,Unnaale Unnaale,Karthik,Unnale Unnale (Original Motion Picture Soundtrack),2006-12-31,44,283373,"telugu pop, tollywood, tamil pop, kollywood, kannada pop, tamil dance, malayalam pop, mollywood",https://i.scdn.co/image/ab67616d0000b27318bd30991b8bdd303df0f44e
4GHobeaUTnW0hZGzX8zGEO,Naan Pizhaippeno,Sathyaprakash,Naan Pizhaippeno (From 'Enai Noki Paayum Thota'),2017-03-26,0,361463,"tamil pop, kollywood, tamil indie, tamil dance",https://i.scdn.co/image/ab67616d0000b27377ae5a6634a5a9023e436b59
3JNgvfMjwnAlA45Jt190rI,Mambazhamam Mambazham,Mani Sharma,Pokkiri,2006-12-15,0,279320,"tamil dance, telugu pop, tollywood, tamil pop, kollywood",https://i.scdn.co/image/ab67616d0000b27348c1d6b2a33fa21eba1a5adb
5PGMCQZR2AnFXSYvUxVb30,"Adada Mazhaida (From ""Paiya"")",Yuvan Shankar Raja,My Playlist: Yuvanshankar Raja,2014-08-18,41,267120,"tamil pop, kollywood, tamil dance, tamil hip hop, tollywood",https://i.scdn.co/image/ab67616d0000b273e21201d2afa1618e4d185a76
